epoch;acc;loss;val_acc;val_loss
0;0.0272331286122;4.96536542634;0.0392200093089;4.49549338946
1;0.0330007118983;4.48636342134;0.0388280541878;4.4492349712
2;0.0351846712598;4.47074018264;0.0452218221014;4.41415518705
3;0.038587304077;4.4507536599;0.0540653095225;4.36756202917
4;0.0558779878613;4.33050122885;0.166164474168;3.7779004572
5;0.152418644493;3.63203924877;0.435192670447;2.53352052097
6;0.304559769292;2.83108001779;0.606109600456;1.772165807
7;0.407688502231;2.33210291103;0.668160995579;1.45715510502
8;0.483391049381;1.97866118317;0.747507410415;1.0921193139
9;0.545857113552;1.71278874859;0.784057225483;0.914113389549
10;0.593795624838;1.50768717044;0.807990985069;0.800316927217
11;0.630283432065;1.35300487962;0.820974498429;0.719979250003
12;0.660882995286;1.21822700839;0.832439185747;0.67270398553
13;0.688055793517;1.11720328047;0.84419783938;0.616552592337
14;0.708001013547;1.03010842707;0.852967835215;0.579802570426
15;0.729189039167;0.947445702683;0.863109673976;0.531481226884
16;0.746202203256;0.882151137293;0.874304892122;0.501595829883
17;0.759631743425;0.828847171136;0.873765953832;0.499266288102
18;0.77338706758;0.77490283962;0.873153523955;0.503408327294
19;0.783751824997;0.730402202768;0.883736312226;0.468361204512
20;0.797036572266;0.681979228925;0.883172876739;0.465003793483
21;0.806882488497;0.646024451528;0.890448543674;0.444829750441
22;0.815895845654;0.611522926618;0.892873765987;0.427776302887
23;0.822616648756;0.586010814299;0.893094240742;0.434114963889
24;0.829385716183;0.561748026015;0.888292790475;0.454098000321
25;0.837614778522;0.529986518475;0.90066387402;0.406745384569
26;0.841150138161;0.513851383728;0.89855711521;0.413101138584
27;0.845421528279;0.504109995179;0.898924573168;0.419732343944
28;0.851599358088;0.479845854966;0.901570270236;0.421010648212
29;0.858790738069;0.456708056917;0.905048871936;0.402747613615
